fecha,red,impresiones,visualizaciones,alcance,seguidores_nuevos,likes,comentarios,compartidos,mensajes,seguidores_total
2024-12-12,Facebook,,0,,0,,,,0,
2024-12-13,Facebook,,0,,0,,,,0,
2024-12-14,Facebook,,0,,0,,,,0,
2024-12-15,Facebook,,0,,0,,,,0,
2024-12-16,Facebook,,0,,0,,,,0,
2024-12-17,Facebook,,0,,0,,,,0,
2024-12-18,Facebook,,0,,0,,,,0,
2024-12-19,Facebook,,0,,0,,,,0,
2024-12-20,Facebook,,0,,0,,,,0,
2024-12-21,Facebook,,0,,0,,,,0,
2024-12-22,Facebook,,0,,0,,,,0,
2024-12-23,Facebook,,0,,0,,,,0,
2024-12-24,Facebook,,0,,0,,,,0,
2024-12-25,Facebook,,0,,0,,,,0,
2024-12-26,Facebook,,0,,0,,,,0,
2024-12-27,Facebook,,0,,0,,,,0,
2024-12-28,Facebook,,0,,0,,,,0,
2024-12-29,Facebook,,0,,0,,,,0,
2024-12-30,Facebook,,0,,0,,,,0,
2024-12-31,Facebook,,0,,0,,,,0,
2025-01-01,Facebook,,0,,0,,,,0,
2025-01-02,Facebook,,0,,0,,,,0,
2025-01-03,Facebook,,0,,0,,,,0,
2025-01-04,Facebook,,0,,0,,,,0,
2025-01-05,Facebook,,0,,0,,,,0,
2025-01-07,Facebook,,0,,0,,,,0,
2025-01-08,Facebook,,0,,0,,,,0,
2025-01-09,Facebook,,0,,0,,,,0,
2025-01-10,Facebook,,0,,0,,,,0,
2025-01-11,Facebook,,0,,0,,,,0,
2025-01-12,Facebook,,0,,0,,,,0,
2025-01-13,Facebook,,0,,0,,,,0,
2025-01-14,Facebook,,0,,0,,,,0,
2025-01-15,Facebook,,0,,0,,,,0,
2025-01-16,Facebook,,0,,0,,,,0,
2025-01-17,Facebook,,0,,0,,,,0,
2025-01-18,Facebook,,0,,0,,,,0,
2025-01-19,Facebook,,0,,0,,,,0,
2025-01-20,Facebook,,0,,0,,,,0,
2025-01-21,Facebook,,0,,0,,,,0,
2025-01-22,Facebook,,0,,0,,,,0,
2025-01-23,Facebook,,0,,0,,,,0,
2025-01-24,Facebook,,0,,0,,,,0,
2025-01-25,Facebook,,0,,0,,,,0,
2025-01-26,Facebook,,0,,0,,,,0,
2025-01-27,Facebook,,0,,0,,,,0,
2025-01-28,Facebook,,0,,0,,,,0,
2025-01-29,Facebook,,0,,0,,,,0,
2025-01-30,Facebook,,0,,0,,,,0,
2025-01-31,Facebook,,0,,0,,,,0,
2025-02-01,Facebook,,0,,0,,,,0,
2025-02-02,Facebook,,0,,0,,,,0,
2025-02-03,Facebook,,0,,0,,,,0,
2025-02-04,Facebook,,0,,0,,,,0,
2025-02-06,Facebook,,0,,0,,,,0,
2025-02-07,Facebook,,0,,0,,,,0,
2025-02-08,Facebook,,0,,0,,,,0,
2025-02-09,Facebook,,0,,0,,,,0,
2025-02-10,Facebook,,0,,0,,,,0,
2025-02-11,Facebook,,0,,0,,,,0,
2025-02-12,Facebook,,0,,0,,,,0,
2025-02-13,Facebook,,0,,0,,,,0,
2025-02-14,Facebook,,0,,0,,,,0,
2025-02-15,Facebook,,0,,0,,,,0,
2025-02-16,Facebook,,0,,0,,,,0,
2025-02-17,Facebook,,0,,0,,,,0,
2025-02-18,Facebook,,0,,0,,,,0,
2025-02-19,Facebook,,0,,0,,,,0,
2025-02-20,Facebook,,0,,0,,,,0,
2025-02-21,Facebook,,0,,0,,,,0,
2025-02-22,Facebook,,0,,0,,,,0,
2025-02-23,Facebook,,0,,0,,,,0,
2025-02-24,Facebook,,0,,0,,,,0,
2025-02-25,Facebook,,0,,0,,,,0,
2025-02-26,Facebook,,0,,0,,,,0,
2025-02-27,Facebook,,0,,0,,,,0,
2025-02-28,Facebook,,0,,0,,,,0,
2025-03-01,Facebook,,0,,0,,,,0,
2025-03-02,Facebook,,0,,0,,,,0,
2025-03-03,Facebook,,0,,0,,,,0,
2025-03-04,Facebook,,0,,0,,,,0,
2025-03-05,Facebook,,0,,0,,,,0,
2025-03-06,Facebook,,0,,0,,,,0,
2025-03-08,Facebook,,0,,0,,,,0,
2025-03-09,Facebook,,0,,0,,,,0,
2025-03-10,Facebook,,0,,0,,,,0,
2025-03-11,Facebook,,0,,0,,,,0,
2025-03-12,Facebook,,0,,0,,,,0,
2025-03-13,Facebook,,0,,0,,,,0,
2025-03-14,Facebook,,0,,0,,,,0,
2025-03-15,Facebook,,0,,0,,,,0,
2025-03-16,Facebook,,0,,0,,,,0,
2025-03-17,Facebook,,0,,0,,,,0,
2025-03-18,Facebook,,0,,0,,,,0,
2025-03-19,Facebook,,0,,0,,,,0,
2025-03-20,Facebook,,0,,0,,,,0,
2025-03-21,Facebook,,0,,0,,,,0,
2025-03-22,Facebook,,0,,0,,,,0,
2025-03-23,Facebook,,0,,0,,,,0,
2025-03-24,Facebook,,0,,0,,,,0,
2025-03-25,Facebook,,0,,0,,,,0,
2025-03-26,Facebook,,0,,0,,,,0,
2025-03-27,Facebook,,0,,0,,,,0,
2025-03-28,Facebook,,0,,0,,,,0,
2025-03-29,Facebook,,0,,0,,,,0,
2025-03-30,Facebook,,0,,0,,,,0,
2025-03-31,Facebook,,0,,0,,,,0,
2025-04-01,Facebook,,0,,0,,,,0,
2025-04-02,Facebook,,0,,0,,,,0,
2025-04-03,Facebook,,0,,0,,,,0,
2025-04-04,Facebook,,0,,0,,,,0,
2025-04-05,Facebook,,0,,0,,,,0,
2025-04-07,Facebook,,0,,0,,,,0,
2025-04-08,Facebook,,0,,0,,,,0,
2025-04-09,Facebook,,0,,0,,,,0,
2025-04-10,Facebook,,0,,0,,,,0,
2025-04-11,Facebook,,0,,0,,,,0,
2025-04-12,Facebook,,0,,0,,,,0,
2025-04-13,Facebook,,0,,0,,,,0,
2025-04-14,Facebook,,0,,0,,,,0,
2025-04-15,Facebook,,0,,0,,,,0,
2025-04-16,Facebook,,0,,0,,,,0,
2025-04-17,Facebook,,0,,0,,,,0,
2025-04-18,Facebook,,0,,0,,,,0,
2025-04-19,Facebook,,0,,0,,,,0,
2025-04-20,Facebook,,0,,0,,,,0,
2025-04-21,Facebook,,0,,0,,,,0,
2025-04-22,Facebook,,0,,0,,,,0,
2025-04-23,Facebook,,0,,0,,,,0,
2025-04-24,Facebook,,0,,0,,,,0,
2025-04-25,Facebook,,0,,0,,,,0,
2025-04-26,Facebook,,0,,0,,,,0,
2025-04-27,Facebook,,0,,0,,,,0,
2025-04-28,Facebook,,0,,0,,,,0,
2025-04-29,Facebook,,0,,0,,,,0,
2025-04-30,Facebook,,0,,0,,,,0,
2025-05-01,Facebook,,0,,0,,,,0,
2025-05-02,Facebook,,0,,0,,,,0,
2025-05-03,Facebook,,0,,0,,,,0,
2025-05-04,Facebook,,0,,0,,,,0,
2025-05-05,Facebook,,0,,0,,,,0,
2025-05-07,Facebook,,0,,0,,,,0,
2025-05-08,Facebook,,0,,0,,,,0,
2025-05-09,Facebook,,0,,0,,,,0,
2025-05-10,Facebook,,0,,0,,,,0,
2025-05-11,Facebook,,0,,0,,,,0,
2025-05-12,Facebook,,0,,0,,,,0,
2025-05-13,Facebook,,0,,0,,,,0,
2025-05-14,Facebook,,0,,0,,,,0,
2025-05-15,Facebook,,0,,0,,,,0,
2025-05-16,Facebook,,0,,0,,,,0,
2025-05-17,Facebook,,0,,0,,,,0,
2025-05-18,Facebook,,0,,0,,,,0,
2025-05-19,Facebook,,0,,0,,,,0,
2025-05-20,Facebook,,0,,0,,,,0,
2025-05-21,Facebook,,0,,0,,,,0,
2025-05-22,Facebook,,0,,0,,,,0,
2025-05-23,Facebook,,0,,0,,,,0,
2025-05-24,Facebook,,0,,0,,,,0,
2025-05-25,Facebook,,0,,0,,,,0,
2025-05-26,Facebook,,0,,0,,,,0,
2025-05-27,Facebook,,0,,0,,,,0,
2025-05-28,Facebook,,0,,0,,,,0,
2025-05-29,Facebook,,0,,0,,,,0,
2025-05-30,Facebook,,0,,0,,,,0,
2025-05-31,Facebook,,0,,0,,,,0,
2025-06-01,Facebook,,0,,0,,,,0,
2025-06-02,Facebook,,0,,0,,,,0,
2025-06-03,Facebook,,0,,0,,,,0,
2025-06-04,Facebook,,0,,0,,,,0,
2025-06-06,Facebook,,0,,0,,,,0,
2025-06-07,Facebook,,0,,0,,,,0,
2025-06-08,Facebook,,0,,0,,,,0,
2025-06-09,Facebook,,0,,0,,,,0,
2025-06-10,Facebook,,0,,0,,,,0,
2025-06-11,Facebook,,0,,0,,,,0,
2025-06-12,Facebook,,0,,0,,,,0,
2025-06-13,Facebook,,0,,0,,,,0,
2025-06-14,Facebook,,0,,0,,,,0,
2025-06-15,Facebook,,0,,0,,,,0,
2025-06-16,Facebook,,0,,0,,,,0,
2025-06-17,Facebook,,0,,0,,,,0,
2025-06-18,Facebook,,0,,0,,,,0,
2025-06-19,Facebook,,0,,0,,,,0,
2025-06-20,Facebook,,0,,0,,,,0,
2025-06-21,Facebook,,0,,0,,,,0,
2025-06-22,Facebook,,0,,0,,,,0,
2025-06-23,Facebook,,0,,0,,,,0,
2025-06-24,Facebook,,0,,0,,,,0,
2025-06-25,Facebook,,0,,0,,,,0,
2025-06-26,Facebook,,0,,0,,,,0,
2025-06-27,Facebook,,0,,0,,,,0,
2025-06-28,Facebook,,0,,0,,,,0,
2025-06-29,Facebook,,0,,0,,,,0,
2025-06-30,Facebook,,0,,0,,,,0,
2025-07-01,Facebook,,0,,0,,,,0,
2025-07-02,Facebook,,0,,0,,,,0,
2025-07-03,Facebook,,0,,0,,,,0,
2025-07-04,Facebook,,0,,0,,,,0,
2025-07-06,Facebook,,0,,0,,,,0,
